"","Palabra","Freq"
"1","",96
"2","–",1
"3","“Admisión",1
"4","“cienmilmillonario”",1
"5","“la",1
"6","“Podremos",1
"7","“porotada”",1
"8","“refugiados",1
"9","17",1
"10","2018",2
"11","3%",1
"12","6,9%",1
"13","a",14
"14","abandonado",1
"15","acuerdan",1
"16","admiten",1
"17","afectiva",1
"18","agónico",1
"19","Agregado",2
"20","ajedrez",1
"21","al",2
"22","Albemarle",1
"23","alguna",1
"24","Allende",1
"25","alta",1
"26","amarillas",1
"27","América",1
"28","Andrés",3
"29","año",3
"30","años",1
"31","ante",1
"32","antes",1
"33","anulara",1
"34","anunció",2
"35","aplicadas",1
"36","apoyo",2
"37","arbitraje",1
"38","árbitro",1
"39","armar",1
"40","arquero",1
"41","artesanales",1
"42","Así",1
"43","astrofísico",1
"44","ataca",1
"45","baja",1
"46","Banco",1
"47","Bezos,",1
"48","BID",1
"49","biología:",1
"50","Bolivia",1
"51","broma",1
"52","cabeza",1
"53","cálculo",1
"54","calentamiento",1
"55","Calidad",1
"56","cambios",1
"57","cardíaco",1
"58","Carlos",1
"59","Casablanca",1
"60","Cascadas",1
"61","Caso",1
"62","Catalina",1
"63","causas",1
"64","celebra",1
"65","celebran",1
"66","Central",1
"67","Chile",2
"68","China",1
"69","cierra",1
"70","climáticos”",1
"71","cobre",1
"72","Comisión",2
"73","como",3
"74","complejo",1
"75","con",2
"76","condena",1
"77","conservadora",1
"78","contaminantes",1
"79","Contesse",1
"80","contra",2
"81","convocatoria",1
"82","Corfo",1
"83","crecimiento",1
"84","critican",1
"85","Cuántos",1
"86","Davos:",1
"87","de",37
"88","De",1
"89","debajo",1
"90","decisión",1
"91","déficit",1
"92","del",11
"93","Delitos",1
"94","Denunciante",1
"95","denuncias",1
"96","desamparo:",1
"97","descartan",1
"98","descentralización",1
"99","Destruyó",1
"100","día",1
"101","director",1
"102","dispararon",1
"103","dólar",1
"104","drag",1
"105","económicos",1
"106","economista",1
"107","educación",1
"108","Educación",1
"109","EE.UU.",2
"110","el",13
"111","El",7
"112","elecciones",1
"113","electromovilidad",1
"114","elegida",1
"115","elite",1
"116","en",13
"117","Era",1
"118","Eric",1
"119","es",4
"120","Es",1
"121","Escala,",1
"122","especies",1
"123","estadio",1
"124","Estas",1
"125","estimación",1
"126","Eutanasia:",1
"127","Ex",1
"128","excelencia:",1
"129","facturaron",1
"130","falla",1
"131","familia",1
"132","favor",1
"133","Fica",1
"134","final?",1
"135","Financiero",2
"136","fiscal",2
"137","fiscalía",1
"138","FMI",1
"139","fortalecimiento",1
"140","George",1
"141","global”",1
"142","Gobierno",1
"143","gol",1
"144","golpea",1
"145","grandes",1
"146","gratuitos",2
"147","Guaidó",2
"148","hacer",1
"149","han",2
"150","has",1
"151","hasta",1
"152","Heller",1
"153","héroe",1
"154","historia”",1
"155","hoy.",1
"156","imagen",1
"157","imperceptible",2
"158","imperio",1
"159","importante",1
"160","Iñaki",1
"161","incendio",1
"162","incomodó",1
"163","inéditas",1
"164","iniciar",1
"165","JA",1
"166","jefe",1
"167","Jeff",1
"168","Jesuitas",1
"169","jibia:",1
"170","Jinping",1
